dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,resnet18,1,1,SIG,SIG,0.005,4.0,test_delta,4.0,0.9261774193548387,0.5241824391816216,0.057813,0.004309745585986376,,3.0990073680877686,false,0.4193459513452973,0.740941935483871
cifar10,resnet18,2,1,SIG,SIG,0.005,12.0,test_delta,12.0,0.907516369047619,0.5329325083668224,0.094062,0.07298762685944668,,1.9864917993545532,false,0.4263460066934579,0.7260130952380952
cifar10,resnet18,3,1,SIG,SIG,0.005,20.0,test_delta,20.0,0.8675636254501801,0.47798457206813305,0.288438,0.46322813846795496,,4.644643306732178,false,0.38238765765450644,0.694050900360144
cifar10,resnet18,4,1,SIG,SIG,0.005,28.0,test_delta,28.0,0.8264289719296596,0.4820170215656412,0.407656,0.7391908800222439,,2.1705520153045654,false,0.385613617252513,0.6611431775437278
cifar10,resnet18,5,1,SIG,SIG,0.005,36.0,test_delta,36.0,0.5646230793916291,0.4756836893098424,0.486563,0.8935075768107883,,1.7865824699401855,false,0.3805469514478739,0.45169846351330334
cifar10,resnet18,6,1,SIG,SIG,0.005,44.0,test_delta,44.0,0.7762416530339084,0.3997770161376072,0.809688,0.9347977200055609,,2.5238139629364014,true,0.32681877057008907,0.62799048008713
cifar10,resnet18,7,1,SIG,SIG,0.005,56.0,test_delta,56.0,0.5770854664287794,0.3771299191843416,0.844844,0.9545391352704018,,3.4714338779449463,true,0.3235620903962807,0.48352652819183095
cifar10,resnet18,8,1,SIG,SIG,0.01,4.0,test_delta,4.0,0.9246354166666667,0.5113223095778986,0.040938,0.00333657722786042,,1.26068115234375,false,0.4090578476623189,0.7397083333333334
cifar10,resnet18,9,1,SIG,SIG,0.01,12.0,test_delta,12.0,0.8206269793666027,0.5078522324816925,0.196406,0.21729459196440984,,1.8994616270065308,false,0.406281785985354,0.6565015834932821
cifar10,resnet18,10,1,SIG,SIG,0.01,20.0,test_delta,20.0,0.860993320610687,0.4863404686253481,0.340781,0.4553037675517865,,2.8160624504089355,true,0.4006527034502394,0.7003749850385106
cifar10,resnet18,11,1,SIG,SIG,0.01,28.0,test_delta,28.0,0.7926077684691546,0.4199102718775687,0.426875,0.7301543166967885,,2.1973624229431152,false,0.335928217502055,0.6340862147753237
cifar10,resnet18,12,1,SIG,SIG,0.01,36.0,test_delta,36.0,0.8009402275561097,0.41662782734897186,0.537969,0.8919783122480189,,1.9616351127624512,false,0.3333022618791775,0.6407521820448878
cifar10,resnet18,13,1,SIG,SIG,0.01,44.0,test_delta,44.0,0.7431005411333238,0.4067276290685027,0.976094,0.9666342277213958,,2.403592824935913,true,0.33049389950607205,0.599592229157929
cifar10,resnet18,14,1,SIG,SIG,0.01,56.0,test_delta,56.0,0.5500290570175439,0.3746222464727902,0.916094,0.9905463645210622,,2.282599449157715,true,0.3029121214441373,0.44323756987994034
cifar10,resnet18,15,1,SIG,SIG,0.05,4.0,test_delta,4.0,0.8399875910386321,0.5464064503738995,0.319531,0.21951897678298346,,1.9385120868682861,false,0.4371251602991196,0.6719900728309057
cifar10,resnet18,16,1,SIG,SIG,0.05,12.0,test_delta,12.0,0.8594078498293516,0.46024620924959203,0.613437,0.6517447518420687,,1.236987590789795,false,0.36819696739967367,0.6875262798634814
cifar10,resnet18,17,1,SIG,SIG,0.05,20.0,test_delta,20.0,0.6429994986631016,0.38846601570010164,0.721406,0.8319199221465313,,1.4975310564041138,false,0.3107728125600813,0.5143995989304813
cifar10,resnet18,18,1,SIG,SIG,0.05,28.0,test_delta,28.0,0.7138955176307737,0.3472825893344348,0.92375,0.9541220631169193,,1.1300208568572998,false,0.27782607146754784,0.571116414104619
cifar10,resnet18,19,1,SIG,SIG,0.05,36.0,test_delta,36.0,0.5240856947794014,0.30596912983869573,0.972344,0.9799805366328375,,1.25941801071167,false,0.24477530387095658,0.4192685558235211
cifar10,resnet18,20,1,SIG,SIG,0.05,44.0,test_delta,44.0,0.565681125403622,0.35391927429661085,0.987969,0.9902683164187405,,1.616701602935791,false,0.2831354194372887,0.4525449003228976
cifar10,resnet18,21,1,SIG,SIG,0.05,56.0,test_delta,56.0,0.6493190144030059,0.35740947207135787,0.999062,0.999026831641874,,2.100159168243408,false,0.2859275776570863,0.5194552115224047
cifar10,resnet18,22,1,WaNet,WaNet,0.005,0.4,test_s,0.4,0.8947618153710247,0.5193334402648088,0.03,0.03934380647852079,0.01,2.077636241912842,true,0.41546675221184703,0.7158094522968198
cifar10,resnet18,23,1,WaNet,WaNet,0.005,0.6,test_s,0.6,0.8496861207440101,0.4317124355255373,0.030625,0.5512303628527735,0.01,4.0601043701171875,false,0.34536994842042984,0.6797488965952081
cifar10,resnet18,24,1,WaNet,WaNet,0.005,0.8,test_s,0.8,0.8634690487571701,0.4292867729786678,0.027656,0.5816766300569999,0.01,1.5874886512756348,false,0.3434294183829343,0.6907752390057361
cifar10,resnet18,25,1,WaNet,WaNet,0.005,1.0,test_s,1.0,0.8224090710859137,0.4066995156288522,0.040313,0.6375642986236619,0.01,3.0285356044769287,true,0.3402720396484663,0.6728396840141155
cifar10,resnet18,26,1,WaNet,WaNet,0.005,1.2,test_s,1.2,0.8164424520249588,0.40372324905980883,0.047656,0.5904351452801334,0.01,3.405649423599243,false,0.3229785992478471,0.6531539616199671
cifar10,resnet18,27,1,WaNet,WaNet,0.005,1.4,test_s,1.4,0.8469527620030977,0.48428662137582945,0.047031,0.5385791741971361,0.01,3.987729072570801,false,0.3874292971006636,0.6775622096024781
cifar10,resnet18,28,1,WaNet,WaNet,0.005,2.0,test_s,2.0,0.8603674189351481,0.4519127467456441,0.098906,0.6945641595996107,0.01,1.6014295816421509,false,0.36153019739651526,0.6882939351481185
cifar10,resnet18,29,1,WaNet,WaNet,0.005,4.0,test_s,4.0,0.859462220494595,0.4139048257780995,0.61375,0.9388294174892257,0.01,4.8083319664001465,false,0.3311238606224796,0.6875697763956761
cifar10,resnet18,30,1,WaNet,WaNet,0.01,0.4,test_s,0.4,0.7109335488505747,0.5284796132849696,0.035156,0.15723620186292228,0.02,1.8067561388015747,false,0.4227836906279757,0.5687468390804598
cifar10,resnet18,31,1,WaNet,WaNet,0.01,0.6,test_s,0.6,0.784575956937799,0.37672173979070944,0.055625,0.8716808007785347,0.02,2.1920294761657715,true,0.3031713574601413,0.629454731177813
cifar10,resnet18,32,1,WaNet,WaNet,0.01,0.8,test_s,0.8,0.6195783819498826,0.36005045132577584,0.041563,0.8876685666620325,0.02,2.111130714416504,true,0.2885656362902066,0.496187980789492
cifar10,resnet18,33,1,WaNet,WaNet,0.01,1.0,test_s,1.0,0.8067360038994111,0.3840924706474077,0.090781,0.8734881134436258,0.02,1.788537859916687,false,0.3072739765179262,0.645388803119529
cifar10,resnet18,34,1,WaNet,WaNet,0.01,1.2,test_s,1.2,0.56684005758006,0.3376167267060256,0.164531,0.8812734603086334,0.02,1.964860439300537,false,0.2700933813648205,0.453472046064048
cifar10,resnet18,35,1,WaNet,WaNet,0.01,1.4,test_s,1.4,0.6291214886525949,0.34348835508908815,0.309063,0.8759905463645211,0.02,1.944960594177246,false,0.27479068407127055,0.5032971909220759
cifar10,resnet18,36,1,WaNet,WaNet,0.01,2.0,test_s,2.0,0.8001866896018069,0.39575793517742097,0.194062,0.8309467537884054,0.02,2.9778645038604736,false,0.3166063481419368,0.6401493516814456
cifar10,resnet18,37,1,WaNet,WaNet,0.01,4.0,test_s,4.0,0.7224413590663635,0.40787158796476286,0.708281,0.9783122480189073,0.02,4.201309680938721,true,0.35960166270483945,0.6112574795861199
cifar10,resnet18,38,1,WaNet,WaNet,0.05,0.4,test_s,0.4,0.6544780935164121,0.37866446959277456,0.115625,0.855554010843876,0.1,2.2195630073547363,false,0.3029315756742197,0.5235824748131297
cifar10,resnet18,39,1,WaNet,WaNet,0.05,0.6,test_s,0.6,0.6163947904949382,0.33565854573745146,0.291406,0.9887390518559711,0.1,3.551323413848877,false,0.2685268365899612,0.4931158323959506
cifar10,resnet18,40,1,WaNet,WaNet,0.05,0.8,test_s,0.8,0.5549796888126575,0.305542068608772,0.33625,0.9929097733907966,0.1,13.19038200378418,true,0.41870868133380246,0.6182587774969108
cifar10,resnet18,41,1,WaNet,WaNet,0.05,1.0,test_s,1.0,0.6001787101175483,0.3299415820271694,0.426406,0.99346586959544,0.1,3.296175956726074,true,0.28306294792493014,0.4992526503972333
